,filter_root_cui,retrieved_codes,retrieved_names,retrieved_codes_count
0,700065003,"['700065003', '233873004', '85898001', '45227007', '89461002', '415295002', '195021004', '847041000000109', '15544002', '195029002', '69609002', '441541008', '281170005', '195020003', '428163005', '35728003', '53043001', '83978005', '39823006', '399020009', '998008', '194849004', '472315005', '697898008', '16253001', '720391000000101', '83521008', '445540004', '275514001', '253528005', '386585008', '16573007', '413838009', '255426005', '62377009', '205011000000103', '386652006', '41969006', '367363000', '75403004', '471841009', '263809005', '11650005', '23627006', '414545008', '18546004', '62695002', '88805009', '68859000', '36221001']","['Primary hypertrophic cardiomyopathy (disorder)', 'Hypertrophic cardiomyopathy (disorder)', 'Cardiomyopathy (disorder)', 'Hypertrophic obstructive cardiomyopathy (disorder)', 'Primary cardiomyopathy (disorder)', 'Restrictive cardiomyopathy (disorder)', 'Primary dilated cardiomyopathy (disorder)', 'Amyloid cardiomyopathy (disorder)', 'Restrictive cardiomyopathy secondary to infiltrations (disorder)', 'Cardiomyopathy associated with another disorder (disorder)', 'Nonobstructive cardiomyopathy (disorder)', 'Takotsubo cardiomyopathy (disorder)', 'Arrhythmogenic right ventricular cardiomyopathy (disorder)', 'Hypertrophic cardiomyopathy without obstruction (disorder)', 'Hypertensive left ventricular hypertrophy (disorder)', 'Familial cardiomyopathy (disorder)', 'Primary idiopathic dilated cardiomyopathy (disorder)', 'Primary familial hypertrophic cardiomyopathy (disorder)', 'Generalized atherosclerosis (disorder)', 'Congestive cardiomyopathy (disorder)', ""Chagas' disease with heart involvement (disorder)"", 'Generalized ischemic myocardial dysfunction (disorder)', 'Mitochondrial cardiomyopathy (disorder)', 'Idiopathic pulmonary arterial hypertension (disorder)', 'Dilated cardiomyopathy secondary to peripartum heart disease (disorder)', 'Aetiology (qualifier value)', 'Dilated cardiomyopathy caused by alcohol (disorder)', 'Left ventricular diverticulum (disorder)', 'Impaired left ventricular function (finding)', 'Arrhythmogenic right ventricular dysplasia (disorder)', 'Functional disorder (disorder)', 'Senile cardiac amyloidosis (disorder)', 'Chronic ischemic heart disease (disorder)', 'Ischemic (qualifier value)', 'Postpartum cardiomyopathy (disorder)', 'Suspected ischaemic heart disease (situation)', 'Colocystoplasty (procedure)', 'Idiopathic disease (disorder)', 'Right ventricular failure (disorder)', 'Cardiac sarcoidosis (disorder)', 'Inflammatory cardiomyopathy (disorder)', 'Microvascular (qualifier value)', 'Giant hypertrophy (morphologic abnormality)', 'Chronic pericarditis (disorder)', 'Ischemic heart disease (disorder)', 'Congenital stenosis of aortic valve (disorder)', 'Acute anteroseptal myocardial infarction (disorder)', 'Chronic congestive heart failure (disorder)', 'Spondylosis without myelopathy (disorder)', 'Benign hypertensive heart disease (disorder)']",50
1,471885006,[],[],0
2,890122001,[],[],0
3,890119003,[],[],0
4,871638006,[],[],0
5,890121008,[],[],0
6,871649000,[],[],0
7,890120009,[],[],0
8,472316006,[],[],0
9,45227007,"['45227007', '195020003', '85898001', '233873004', '89461002', '69609002', '399020009', '441541008', '16253001', '415295002', '53043001', '83978005', '847041000000109', '194849004', '195029002', '83521008', '15544002', '35728003', '52029003', '414545008', '195021004', '472315005', '697898008', '30496006', '62377009', '281170005', '23130000', '428163005', '998008', '233630006', '70995007', '88223008', '275514001', '700250006', '426749004', '368009', '700065003', '413838009', '40527005', '16573007', '85598007', '313297008', '64715009', '360573001', '48447003', '61099007', '313299006', '425615007', '445237003', '233947005']","['Hypertrophic obstructive cardiomyopathy (disorder)', 'Hypertrophic cardiomyopathy without obstruction (disorder)', 'Cardiomyopathy (disorder)', 'Hypertrophic cardiomyopathy (disorder)', 'Primary cardiomyopathy (disorder)', 'Nonobstructive cardiomyopathy (disorder)', 'Congestive cardiomyopathy (disorder)', 'Takotsubo cardiomyopathy (disorder)', 'Dilated cardiomyopathy secondary to peripartum heart disease (disorder)', 'Restrictive cardiomyopathy (disorder)', 'Primary idiopathic dilated cardiomyopathy (disorder)', 'Primary familial hypertrophic cardiomyopathy (disorder)', 'Amyloid cardiomyopathy (disorder)', 'Generalized ischemic myocardial dysfunction (disorder)', 'Cardiomyopathy associated with another disorder (disorder)', 'Dilated cardiomyopathy caused by alcohol (disorder)', 'Restrictive cardiomyopathy secondary to infiltrations (disorder)', 'Familial cardiomyopathy (disorder)', 'Primary familial dilated cardiomyopathy (disorder)', 'Ischemic heart disease (disorder)', 'Primary dilated cardiomyopathy (disorder)', 'Mitochondrial cardiomyopathy (disorder)', 'Idiopathic pulmonary arterial hypertension (disorder)', 'Dilated cardiomyopathy secondary to viral myocarditis (disorder)', 'Postpartum cardiomyopathy (disorder)', 'Arrhythmogenic right ventricular cardiomyopathy (disorder)', 'Paroxysmal hypertension (disorder)', 'Hypertensive left ventricular hypertrophy (disorder)', ""Chagas' disease with heart involvement (disorder)"", 'Obstructive bronchiectasis (disorder)', 'Pulmonary hypertension (disorder)', 'Secondary pulmonary hypertension (disorder)', 'Impaired left ventricular function (finding)', 'Idiopathic pulmonary fibrosis (disorder)', 'Chronic atrial fibrillation (disorder)', 'Heart valve disorder (disorder)', 'Primary hypertrophic cardiomyopathy (disorder)', 'Chronic ischemic heart disease (disorder)', 'Idiopathic pulmonary hemosiderosis (disorder)', 'Senile cardiac amyloidosis (disorder)', 'Constrictive pericarditis (disorder)', 'Moderate chronic obstructive pulmonary disease (disorder)', 'Hypertensive heart disease (disorder)', 'Post-capillary pulmonary hypertension (disorder)', 'Chronic heart failure (disorder)', 'Rubeola scarlatinosa (disorder)', 'Severe chronic obstructive pulmonary disease (disorder)', 'Chronic atrial flutter (disorder)', 'Portopulmonary hypertension (disorder)', 'Thromboembolic pulmonary hypertension (disorder)']",50
